일련번호,유형,어린이집명,통학차량 운영여부,도로명주소,전화번호,위도,경도
51,가정,꼬마나무어린이집,미운영,"인천광역시 연수구 송도문화로28번길 28 103동 203호(송도동, 송도글로벌캠퍼스푸르지오)",070-4079-4001,37.376661,126.653793
52,가정,꼬마마리나어린이집,미운영,인천광역시 연수구 랜드마크로 160 마리나베이아파트 119동 101호,032-834-6005,37.411938,126.611563
53,가정,꼬마별어린이집,미운영,"인천광역시 연수구 해돋이로6번길 7 105동 103호(송도동, 송도국제도시현대아이파크)",032-868-5222,37.387724,126.658444
54,가정,꼬마천사어린이집,미운영,"인천광역시 연수구 신송로118번길 6 104동 102호(송도동, 송도풍림아이원1단지아파트)",032-851-1255,37.395106,126.6547
55,가정,꼬마캐슬어린이집,미운영,"인천광역시 연수구 송도과학로27번길 55 105동 204호(송도동,롯데캐슬캠퍼스타운)",032-221-8782,37.388054,126.665132
56,가정,꾸러기어린이집,미운영,"인천광역시 연수구 원인재로 212 116동 103호(연수동, 연수1차아파트)",032-818-5087,37.414683,126.687855
57,가정,꿈나무어린이집,미운영,"인천광역시 연수구 먼우금로 302 102동 105호(연수동, 유천아파트)",032-815-6533,37.422769,126.684308
58,가정,꿈샘어린이집,미운영,"인천광역시 연수구 새말로 154 306동 107호(연수동, 주공아파트)",032-233-7676,37.415534,126.6852
59,가정,꿈이쑥쑥어린이집,미운영,"인천광역시 연수구 새말로 21 102동 106호(연수동, 동남아파트)",032-223-1004,37.423908,126.675003
60,민간,꿈트리키즈어린이집,미운영,"인천광역시 연수구 컨벤시아대로274번길 55 관리동 1층(송도4동, 송더 더샵 마스터뷰 21BL)",032-851-7616,37.382932,126.633387
61,민간,나래어린이집,운영(신고),인천광역시 연수구 먼우금로 19 동남아파트 단지내 (동춘동),032-822-7778,37.407683,126.671176
62,법인·단체등,남인천어린이집,운영(신고),인천광역시 연수구 청학로6번길 52,032-833-3002,37.426995,126.666073
63,국공립,느티나무어린이집,미운영,인천광역시 연수구 원인재로 222 (연수동) 느티나무 어린이집,032-812-0120,37.415576,126.687058
64,민간,늘솔어린이집,미운영,인천광역시 연수구 먼우금로83번길 49 대림3차아파트 관리동,032-814-7942,37.406891,126.666526
65,직장,늘푸른어린이집,운영(신고),인천광역시 연수구 독배로 68 유진메디타워 301호,032-831-9255,37.426566,126.645202
66,직장,니트꿈나무어린이집,미운영,"인천광역시 연수구 컨벤시아대로 165 2층(송도동, 니트타워제1호)",032-230-8003,37.392921,126.646044
67,가정,다사랑어린이집,미운영,"인천광역시 연수구 청량로185번길 16 102동 101호 (옥련동, 서해아파트)",032-851-1006,37.423716,126.651752
68,가정,다솔어린이집,미운영,"인천광역시 연수구 원인재로 56 107동 102호 (동춘동,현대아파트)",032-811-2225,37.403309,126.676195
69,가정,다솜어린이집,미운영,"인천광역시 연수구 원인재로 232 105동 108호(연수동, 솔밭마을아파트)",032-822-1004,37.414683,126.687855
70,민간,다예린어린이집,운영(신고),인천광역시 연수구 넘말로79번길 55-1 (선학동),032-811-5800,37.429424,126.694942
71,가정,단비어린이집,미운영,"인천광역시 연수구 독배로40번길 18 4동 108호(옥련동, 삼성아파트)",032-833-9365,37.423519,126.645617
72,가정,달콤어린이집,미운영,인천광역시 연수구 랜드마크로 19 105동 101호,032-442-7179,37.413469,126.622355
73,가정,대림큰별어린이집,미운영,"인천광역시 연수구 랜드마크로 113 101동 105호(송도동,e편한세상송도)",032-212-0105,37.411361,126.618541
74,민간,더샵감동어린이집,미운영,인천광역시 연수구 아트센터대로97번길 75 더샵하버뷰 13단지 관리동,032-831-7708,37.398166,126.64638
75,가정,더샵센시티어린이집,미운영,"인천광역시 연수구 송도국제대로 261 215동 203호(송도동,송도더샵센트럴시티)",032-243-7773,37.384878,126.658734
76,민간,더샵향기어린이집,미운영,"인천광역시 연수구 센트럴로 194 A 201동 1층 (송도동, 더 샵 센트럴파크2)",032-876-0918,37.394467,126.641007
77,가정,도담어린이집,미운영,"인천광역시 연수구 해돋이로84번길 30 110동 104호(송도동, 송도금호어울림아파트)",032-831-7955,37.391606,126.655534
78,가정,동남어린이집,미운영,"인천광역시 연수구 먼우금로 19 101동 106호(동춘동, 동남아파트)",032-227-1212,37.400716,126.668199
79,가정,동심어린이집,미운영,"인천광역시 연수구 원인재로 81 4동 104호(동춘동, 삼성럭키아파트)",032-813-5004,37.407632,126.675587
80,민간,동심키즈어린이집,미운영,인천광역시 연수구 신송로6번길 7 성지리벨루스 아파트 관리동1층 (송도동),032-858-5995,37.389347,126.662285
81,가정,둘리어린이집,미운영,"인천광역시 연수구 원인재로 124 101동 103호(동춘동, 한양아파트)",032-817-4106,37.408354,126.680475
82,가정,드림아이어린이집,미운영,인천광역시 연수구 랜드마크로 160 122동 104호(마리나베이아파트),032-859-7977,37.411938,126.611563
83,가정,드림키즈어린이집,미운영,인천광역시 연수구 랜드마크로 113 105동 105호,032-266-7283,37.411193,126.618603
84,가정,딸기어린이집,미운영,"인천광역시 연수구 선학로 100 2동 104호(선학동, 금호아파트)",032-819-6092,37.42613,126.701
85,민간,뜨락어린이집,운영(신고),인천광역시 연수구 한나루로105번길 68 현대4차아파트 관리동 1층 (옥련동),032-833-4647,37.425296,126.651117
86,가정,라라어린이집,미운영,"인천광역시 연수구 랜드마크로 19 103동 102호(송도동, 송도에스케이뷰아파트)",032-227-7800,37.413622,126.622376
87,가정,라온어린이집,운영(신고),"인천광역시 연수구 청량로199번길 29 101동 106호 (옥련동, 한국아파트)",032-833-5077,37.423975,126.650251
88,가정,랜드마크에듀키즈어린이집,미운영,인천광역시 연수구 랜드마크로 68 107동 102호 (랜드마크시티센트럴더샵),032-216-1616,37.41461,126.621643
89,가정,랜시티센트럴어린이집,미운영,인천광역시 연수구 랜드마크로 68 104동 105호(랜드마크시티센트럴더샵아파트),032-833-1050,37.41461,126.621643
90,가정,레이크숲어린이집,미운영,인천광역시 연수구 아카데미로 446 205동 102호(힐스테이트레이크2차),032-832-0102,37.37802,126.628698
91,가정,로뎀나무어린이집,미운영,"인천광역시 연수구 신송로118번길 6 110동 103호(송도동, 송도신도시풍림아이원)",032-851-3022,37.395106,126.6547
92,가정,롤리팝어린이집,미운영,"인천광역시 연수구 컨벤시아대로252번길 30 1504동 201호(송도동,더샵퍼스트파크)",070-4575-6732,37.392921,126.646044
93,가정,롯데캐슬어린이집,미운영,"인천광역시 연수구 송도과학로27번길 70 103동 103호 (송도동, 롯데캐슬아파트)",032-819-7634,37.383912,126.643855
94,가정,롯데키즈빌어린이집,미운영,"인천광역시 연수구 송도과학로51번길 136 204동 104호 (송도동, 캐슬앤해모로)",032-822-5533,37.38448,126.674873
95,가정,리틀몬테소리어린이집,미운영,"인천광역시 연수구 원인재로 14 109동 103호(동춘동, 무지개아파트)",032-815-3275,37.401583,126.671079
96,민간,리틀뷰어린이집,운영(신고),"인천광역시 연수구 컨벤시아대로274번길 15 (송도동, 송도더샵마스터뷰 23-1BL 관리동)",032-833-0730,37.38133,126.63303
97,가정,리틀킹어린이집,미운영,"인천광역시 연수구 신송로118번길 6 113동 103호(송도동, 송도풍림아이원1단지아파트)",070-8732-2734,37.395106,126.6547
98,가정,리틀하우스어린이집,미운영,"인천광역시 연수구 원인재로 81 103동 101호(동춘동, 삼성럭키아파트)",032-245-8130,37.407632,126.675587
99,가정,리틀하임어린이집,미운영,인천광역시 연수구 랜드마크로 160 116동 104호 (마리나베이아파트),032-859-7900,37.411938,126.611563
100,가정,마리나단비어린이집,미운영,인천광역시 연수구 랜드마크로 160 110동 103호(마리나베이아파트),032-228-2323,37.411938,126.611563
101,가정,마리나애플어린이집,미운영,인천광역시 연수구 랜드마크로 160 105동 104호(마리나베이아파트),032-278-3355,37.411938,126.611563
102,가정,마리나어린이집,미운영,인천광역시 연수구 랜드마크로 160 마리나베이아파트 107동 104호,032-832-0706,37.411938,126.611563
103,가정,마리나엔젤어린이집,미운영,인천광역시 연수구 랜드마크로 160 115동 103호 (마리나베이아파트),032-832-7720,37.411938,126.611563
104,가정,마리나키즈어린이집,미운영,인천광역시 연수구 랜드마크로 160 104동 103호(마리나베이아파트),032-833-9229,37.411938,126.611563
105,가정,마스터뷰어린이집,미운영,인천광역시 연수구 컨벤시아대로274번길 15 2301동 201호,032-212-6154,37.392921,126.646044
106,가정,맘앤파파어린이집,미운영,"인천광역시 연수구 해돋이로120번길 16 206동 101호(송도동, 풍림아이원아파트)",032-428-6925,37.393356,126.651923
107,가정,모아어린이집,미운영,"인천광역시 연수구 선학로 101 107동 101호(선학동, 뉴서울아파트)",032-821-9981,37.425084,126.700175
108,가정,무지개어린이집,미운영,"인천광역시 연수구 원인재로 14 111동 102호(동춘동, 무지개아파트)",032-817-2399,37.401583,126.671079
109,가정,물댄동산어린이집,미운영,"인천광역시 연수구 청능대로 38 101동 109호(동춘동, 태평2차아파트)",032-811-0202,37.416992,126.670337
110,민간,미래클예능어린이집,운영(신고),인천광역시 연수구 넘말로29번길 27 (선학동),032-818-0484,37.428285,126.696349
111,민간,미상지어린이집,운영(신고),인천광역시 연수구 비류대로294번길 6-14 미상지어린이집 (청학동),032-815-1811,37.425924,126.6666
112,가정,미소가득어린이집,미운영,"인천광역시 연수구 컨벤시아대로130번길 32 204동 101호 (송도동, 자이하버뷰2단지)",032-832-1125,37.395102,126.643114
113,가정,미소담은어린이집,미운영,"인천광역시 연수구 함박뫼로 250 103동 104호(연수동, 풍림1차아파트)",032-214-4279,37.417631,126.691835
114,가정,미소천사어린이집,미운영,"인천광역시 연수구 송도문화로28번길 81 112동 102호(송도동,더샵그린스퀘어)",032-822-4525,37.371482,126.653234
115,가정,베르디움어린이집,미운영,인천광역시 연수구 송도문화로84번길 84 베르디움퍼스트아파트 104동 105호,032-279-5279,37.372751,126.659912
116,가정,베이비몬테소리어린이집,미운영,"인천광역시 연수구 원인재로 56 114동 102호(동춘동, 현대아파트)",032-244-8688,37.403309,126.676195
117,가정,별나라어린이집,미운영,"인천광역시 연수구 독배로 58 207동 102호(옥련동, 현대2차아파트)",032-227-8757,37.426046,126.6487
118,가정,별빛어린이집,미운영,"인천광역시 연수구 청능대로 175 109동 102호(연수동, 연수우성1차아파트)",070-8910-9363,37.410077,126.683225
119,가정,보미나어린이집,미운영,"인천광역시 연수구 독배로 58 206동 102호 (옥련동,현대2차)",070-8805-7555,37.426046,126.6487
120,민간,빛솔어린이집,운영(신고),인천광역시 연수구 한진로 49 현대5차아파트 관리동(옥련동),032-833-0083,37.427596,126.643702
121,가정,사과나무어린이집,미운영,"인천광역시 연수구 독배로 58 204동 101호(옥련동, 현대2차아파트)",032-832-1611,37.426046,126.6487
122,가정,사랑나무어린이집,미운영,"인천광역시 연수구 아트센터대로97번길 56 1502동 205호(송도동, 송도더샵하버뷰2)",032-851-7942,37.398166,126.64638
123,가정,사랑어린이집,미운영,"인천광역시 연수구 능허대로79번길 30 115동 104호(옥련동, 럭키송도아파트)",070-7756-0707,37.424497,126.642814
124,민간,산들어린이집,운영(신고),인천광역시 연수구 학나래로46번길 11 (선학동),032-817-7634,37.42549,126.697222
125,민간,산울음높이어린이집,운영(신고),인천광역시 연수구 원인재로 212 연수1차아파트 단지내,032-811-1903,37.41463,126.687318
126,직장,삼성바이오드림파크어린이집,미운영,인천광역시 연수구 송도바이오대로 300,032-455-8300,37.368195,126.660533
127,직장,삼성바이오에피스이솝빌어린이집,미운영,인천광역시 연수구 송도교육로 76,032-728-3338,37.383912,126.643855
128,가정,새봄어린이집,미운영,"인천광역시 연수구 랜드마크로 19 107동 102호(송도4, 에스케이뷰아파트)",032-221-3438,37.413622,126.622376
129,민간,새샘어린이집,운영(신고),인천광역시 연수구 계림로112번길 21 새샘어린이집 (청학동),032-832-0972,37.426646,126.669341
130,민간,새싹어린이집,운영(신고),인천광역시 연수구 경원대로467번길 38 1층 (선학동),032-811-1002,37.426407,126.696679
131,가정,생명나무어린이집,미운영,"인천광역시 연수구 송도과학로27번길 30 304동 101호(송도동, 송도해모로월드뷰아파트)",032-259-8829,37.384215,126.663317
132,국공립,선학어린이집,운영(신고),인천광역시 연수구 비류대로 602 (선학동),032-814-1845,37.422637,126.70152
133,가정,성지어린이집,미운영,"인천광역시 연수구 신송로6번길 7 112동 101호(송도동, 송도성지리벨루스)",032-858-0104,37.389347,126.662285
134,국공립,세화어린이집,미운영,인천광역시 연수구 원인재로 315 주공아파트 관리동 1층 (연수동),032-816-5193,37.421151,126.691934
135,민간,센트럴파크1어린이집,미운영,인천광역시 연수구 센트럴로 232 센트럴파크1단지 관리동 1층 (송도동),032-859-8585,37.396786,126.637707
136,직장,셀트리온어린이집,미운영,"인천광역시 연수구 해돋이로6번길 7 113동 102호(송도동, 송도신도시현대아이파크)",032-834-8880,37.387724,126.658444
137,직장,셀트리온제2어린이집,미운영,인천광역시 연수구 송도과학로27번길 15 송도아메리칸타운 104동 246호,032-834-7834,37.473198,126.621772
138,직장,셀트리온제3어린이집,미운영,"인천광역시 연수구 해돋이로6번길 7 113동 103호(송도1동, 아이파크송도)",032-831-8004,37.387724,126.658444
139,민간,솔잎어린이집,운영(신고),인천광역시 연수구 옥련로97번길 13 (옥련동),032-833-7070,37.426793,126.650935
140,민간,송도러브앤키즈어린이집,미운영,"인천광역시 연수구 컨벤시아대로130번길 100 관리동 1층(송도동, 송도더샵그린워크3차 18블럭)",032-859-0303,37.399717,126.640232
141,가정,송도센트럴어린이집,미운영,"인천광역시 연수구 송도국제대로 261 213동 204호(송도동,송도더샵센트럴시티)",032-812-7786,37.384878,126.658734
142,민간,송도숲어린이집,운영(신고),인천광역시 연수구 한나루로180번길 9 (옥련동),032-834-9399,37.425276,126.656951
143,가정,송도예랑어린이집,미운영,"인천광역시 연수구 아트센터대로97번길 30 1605동 202호(송도동, 더샵그린워크1차)",070-4400-3338,37.401751,126.640457
144,직장,스마트밸리어린이집,미운영,인천광역시 연수구 송도미래로 30 스마트밸리 D동 101호,032-837-5005,37.367267,126.64777
145,가정,슬기샘어린이집,운영(신고),"인천광역시 연수구 한나루로79번길 11 102동 101호(옥련동, 백산아파트)",032-212-2355,37.42263,126.646256
146,가정,아기나무어린이집,미운영,"인천광역시 연수구 송도과학로51번길 136 202동 104호(송도동, 캐슬앤해모로)",032-204-0072,37.38448,126.674873
147,가정,아기둥지어린이집,미운영,"인천광역시 연수구 해송로30번길 20 401동 102호 (송도동, 송도웰카운티4단지아파트)",032-831-8531,37.381629,126.64437
148,가정,아기숲어린이집,미운영,"인천광역시 연수구 청능대로 124 115동 104호(동춘동, 금호아파트)",032-816-2279,37.410604,126.67592
149,가정,아기천사어린이집,미운영,"인천광역시 연수구 먼우금로 19 106동 104호(동춘동, 동남아파트)",032-213-4445,37.400716,126.668199
150,민간,아띠어린이집,운영(신고),인천광역시 연수구 해송로30번길 19 웰카운티3단지 관리동 (송도동),032-858-3383,37.381135,126.647118
151,가정,아이꿈어린이집,운영(신고),인천광역시 연수구 새말로 6 효정A103-105,032-818-2258,37.424097,126.672134
152,가정,아이나무어린이집,미운영,"인천광역시 연수구 앵고개로264번길 41 31동 103호 (동춘동, 한양2차아파트)",032-819-0200,37.404677,126.669987
153,가정,아이들세상어린이집,운영(신고),"인천광역시 연수구 먼우금로 126 212동 101호(동춘동, 현대대림2차아파트)",032-816-1233,37.409049,126.673087
154,가정,아이러브어린이집,미운영,"인천광역시 연수구 아트센터대로97번길 75 1304동 202호 (송도동, 송도 더샵하버뷰)",032-833-0287,37.398166,126.64638
155,가정,아이마음어린이집,미운영,"인천광역시 연수구 원인재로 180 212동 105호(연수동, 연수우성2차아파트)",032-819-1921,37.411687,126.684475
156,가정,아이맘어린이집,미운영,"인천광역시 연수구 옥련로 33 103동 101호 (옥련동, 현대1차아파트)",032-832-5195,37.427965,126.643673
157,가정,아이비리그어린이집,미운영,"인천광역시 연수구 독배로40번길 48 103동 101호 (옥련동, 우성아파트)",032-831-7001,37.42369,126.646653
158,가정,아이사랑어린이집,미운영,"인천광역시 연수구 해돋이로120번길 16 214동 104호(송도동, 송도신도시풍림아이원)",032-851-4907,37.393356,126.651923
159,가정,아이세상랜드마크어린이집,미운영,인천광역시 연수구 랜드마크로 68 108동 102호(랜드마크시티센트럴더샵),032-205-6332,37.414824,126.620127
160,민간,아이원키즈어린이집,미운영,인천광역시 연수구 신송로82번길 6 풍림아이원아파트 4단지 관리동 (송도동),032-851-0732,37.393282,126.657478
161,민간,아이웰어린이집,운영(신고),인천광역시 연수구 청량로194번길 8 (옥련동),032-833-2035,37.424086,126.653046
162,가정,아이조아어린이집,운영(신고),"인천광역시 연수구 먼우금로83번길 12 109동 104호(동춘동, 건영아파트)",032-247-4947,37.408215,126.667699
163,가정,아이파크어린이집,미운영,"인천광역시 연수구 해돋이로6번길 7 106동 101호 (송도동, 송도국제도시현대아이파크)",032-501-7912,37.387724,126.658444
164,민간,아트윈도담어린이집,미운영,"인천광역시 연수구 인천타워대로 253-25 관리동 1층, (송도동, 아트윈푸르지오아파트)",032-851-2040,37.392731,126.632261
165,민간,애플어린이집,운영(신고),인천광역시 연수구 원인재로 59 한양2차 아파트 단지내 애플어린이집,032-817-1957,37.405299,126.672393
166,직장,앰코어린이집,미운영,인천광역시 연수구 송도미래로 150 (송도동),032-728-5630,37.407286,126.675796
167,가정,어깨동무어린이집,미운영,"인천광역시 연수구 먼우금로 126 207동 104호(동춘동, 현대대림2차아파트)",032-812-7942,37.409049,126.673087
168,가정,에듀포레어린이집,미운영,"인천광역시 연수구 송도문화로84번길 24 201동 205호(송도동, 송도에듀포레푸르지오)",032-212-4043,37.372751,126.659912
169,가정,엔젤맘어린이집,미운영,"인천광역시 연수구 컨벤시아대로42번길 35 702동 204호(송도동, 송도더샵그린애비뉴 7단지)",032-832-1024,37.399799,126.647979
170,가정,엘림어린이집,운영(신고),"인천광역시 연수구 경원대로119번길 21 101동 105호(동춘동, 풍림2차아파트)",032-257-1384,37.400022,126.67331
171,국공립,여성의광장어린이집,미운영,인천광역시 연수구 앵고개로 183 (동춘동),032-819-6077,37.412772,126.665783
172,직장,연수경찰서어린이집,미운영,인천광역시 연수구 원인재로 138,032-813-9801,37.410386,126.68108
173,직장,연수구청어린이집,미운영,인천광역시 연수구 원인재로 115 연수구청 별관 1층,032-812-0126,37.41016,126.678309
174,민간,연수색동원어린이집,운영(신고),인천광역시 연수구 독배로90번길 70-3,032-831-2045,37.427716,126.649497
175,민간,연화예술어린이집,운영(신고),인천광역시 연수구 새말로 134 세경아파트 관리동 2층(1층일부) (연수동),032-818-0717,37.416576,126.683225
176,가정,열린미래어린이집,미운영,"인천광역시 연수구 능허대로79번길 30 102동 102호(옥련동, 럭키송도아파트)",032-833-7758,37.424497,126.642814
177,민간,열린우리어린이집,운영(신고),"인천광역시 연수구 새말로 154 관리동2층 (연수동, 연수주공3차아파트)",032-818-7274,37.415576,126.684975
178,가정,영재어린이집,미운영,"인천광역시 연수구 독배로 58 203동 104호(옥련동, 현대2차아파트)",032-831-5445,37.426046,126.6487
179,가정,예나어린이집,미운영,"인천광역시 연수구 원인재로 124 105동 102호(동춘동, 한양1차아파트)",032-812-1771,37.408354,126.680475
180,가정,예띠호야어린이집,운영(신고),"인천광역시 연수구 청량로199번길 29 102동 102호(옥련동, 한국아파트)",032-257-4435,37.423975,126.650251
181,가정,예쁜맘어린이집,미운영,"인천광역시 연수구 원인재로 180 215동 102호(연수동, 연수우성2차아파트)",032-818-0200,37.41179,126.685076
182,가정,예쁜아이어린이집,미운영,"인천광역시 연수구 먼우금로 302 101동103호(연수동,유천아파트)",032-816-0130,37.422769,126.684308
183,가정,예쁜어린이집,미운영,"인천광역시 연수구 원인재로 300 107동 102호(연수동, 대림아파트)",032-812-5202,37.419548,126.693835
184,민간,예일어린이집,운영(신고),인천광역시 연수구 동곡재로 43 (동춘동),032-813-5139,37.414311,126.672086
185,가정,예지어린이집,미운영,"인천광역시 연수구 원인재로 232 102동 101호(연수동, 솔밭마을아파트)",032-816-1009,37.414683,126.687855
186,민간,오렌지어린이집,운영(신고),인천광역시 연수구 능허대로151번길 23 (옥련동),032-831-5255,37.421446,126.646838
